Date,Last Price,Open Interest,SMAVG (15)
2017-06-07,49.39,65346,248585
2017-06-06,51.21,63089,266312
2017-06-05,50.74,66137,283875
2017-06-02,51.07,66333,301270
2017-06-01,51.73,65381,318205
2017-05-31,51.69,341466,334874
2017-05-30,53.03,347966,332945
2017-05-29,53.33,342497,330513
2017-05-26,53.17,342564,328499
2017-05-25,52.41,340615,326253
2017-05-24,54.71,330447,323831
2017-05-23,54.96,338987,321671
2017-05-22,54.68,340124,318892
2017-05-19,54.23,342938,315804
2017-05-18,53.2,334886,299462
2017-05-17,53,331245,283384
2017-05-16,52.5,326546,267331
2017-05-15,52.44,327053,251457
2017-05-12,51.62,320364,235465
2017-05-11,51.71,315416,219688
2017-05-10,51.27,312526,204022
2017-05-09,50.03,311492,188179
2017-05-08,50.61,312280,172448
2017-05-05,50.3,308874,156624
2017-05-04,49.48,304293,141001
2017-05-03,51.69,298039,125540
2017-05-02,51.4,297300,110407
2017-05-01,52.53,293810,95272
2017-04-28,52.92,97802,80291
2017-04-27,52.63,93723,78276
2017-04-26,53.25,90442,76542
2017-04-25,53.34,88448,75332
2017-04-24,53.07,87168,74139
2017-04-21,53.43,83711,75723
2017-04-20,54.31,80416,77287
2017-04-19,54.31,74885,78986
2017-04-18,56.28,75528,81006
2017-04-17,56.67,74915,82854
2017-04-13,57.06,74541,84502
2017-04-12,56.93,72375,86041
2017-04-11,57.06,71047,87467
2017-04-10,56.75,70273,88928
2017-04-07,55.89,69095,90092
2017-04-06,55.53,67580,91211
2017-04-05,55.04,67709,92157
2017-04-04,54.86,72292,92943
2017-04-03,53.92,70546,93369
2017-03-31,54.16,110936,93853
2017-03-30,53.77,107166,91647
2017-03-29,53.12,105905,89604
2017-03-28,52.1,105187,87604
2017-03-27,51.69,103246,85537
2017-03-24,51.62,99637,83581
2017-03-23,51.32,97626,81802
2017-03-22,51.62,93765,80220
2017-03-21,51.88,92957,78730
2017-03-20,52.32,87735,83475
2017-03-17,52.44,85883,88219
2017-03-16,52.34,81772,92879
2017-03-15,52.43,79486,97371
2017-03-14,51.68,78684,101569
2017-03-13,52.15,77804,105350
2017-03-10,52.14,77852,108626
2017-03-09,53.02,76521,111678
2017-03-08,53.9,75909,114591
2017-03-07,56.51,74174,117443
2017-03-06,56.67,73904,120116
2017-03-03,56.53,72951,122740
2017-03-02,55.8,73907,125413
2017-03-01,56.9,71415,127946
2017-02-28,57.11,164124,130327
2017-02-27,56.93,158895,126408
2017-02-24,56.78,155786,122578
2017-02-23,57.13,149150,118656
2017-02-22,56.36,142455,115189
2017-02-21,56.88,135396,112026
2017-02-20,56.78,126958,108492
2017-02-17,56.64,123626,105441
2017-02-16,56.58,120219,102554
2017-02-15,56.65,118691,99820
2017-02-14,56.86,114268,97296
2017-02-13,56.6,113265,94956
2017-02-10,57.7,113035,92582
2017-02-09,56.78,111900,90310
2017-02-08,56.25,107135,87866
2017-02-07,56.04,105346,85673
2017-02-06,56.86,101445,83521
2017-02-03,57.73,96952,81634
2017-02-02,57.4,97146,79954
2017-02-01,57.72,95009,78236
2017-01-31,56.54,82391,76451
2017-01-30,56.38,81186,75003
2017-01-27,56.64,80323,73487
2017-01-26,57.55,79206,71900
2017-01-25,56.67,80830,70353
2017-01-24,57.21,79175,68663
2017-01-23,57.02,77648,67014
2017-01-20,57.44,78957,65467
2017-01-19,56.19,75237,63832
2017-01-18,55.93,74237,64661
2017-01-17,57.37,73074,65468
2017-01-16,57.57,73138,66312
2017-01-13,57.23,71751,67137
2017-01-12,57.85,71375,68030
2017-01-11,56.94,68238,68702
2017-01-10,55.79,60674,69314
2017-01-09,57.01,58449,70325
2017-01-06,58.98,56514,71340
2017-01-05,58.81,55992,72397
2017-01-04,58.51,55492,73513
2017-01-03,57.6,54439,74719
2017-01-02,58.82,54433,75930
2016-12-30,58.82,54433,77020
2016-12-29,58.67,87671,78030
2016-12-28,58.69,86341,76654
2016-12-27,58.51,85747,75183
2016-12-23,57.68,85506,73611
2016-12-22,57.56,85153,72104
2016-12-21,57.07,81449,70550
2016-12-20,57.74,77420,80178
2016-12-19,57.11,75833,88674
2016-12-16,57.25,73681,97290
2016-12-15,56.34,72370,105755
2016-12-14,56.27,72725,114308
2016-12-13,57.83,73579,122842
2016-12-12,57.65,72616,131630
2016-12-09,56.55,70782,140165
2016-12-08,56.07,69584,148737
2016-12-07,55.43,67027,157288
2016-12-06,56.24,64271,165780
2016-12-05,57.04,62163,174190
2016-12-02,56.49,62907,182814
2016-12-01,55.76,61845,191331
2016-11-30,53.88,225860,199810
2016-11-29,49.79,204865,197096
2016-11-28,51.61,205081,195575
2016-11-25,50.66,200648,194402
2016-11-24,52.38,200663,193528
2016-11-23,52.44,200732,192765
2016-11-22,52.62,205405,192163
2016-11-21,52.52,200645,191439
2016-11-18,50.56,199361,183847
2016-11-17,50.21,197851,176165
